id,dbName,size,date,dbSizeGroup
180,prod,87,1729415370209,prod
181,isoft,8337,1729415370251,isoft
182,prod,87,1730006811336,prod
183,kauh,23,1730006811462,kauh
184,isoft,8404,1730006811730,isoft
185,kauh,23,1730611055518,kauh
186,isoft,8408,1730611055532,isoft
187,prod,87,1730611055884,prod
188,kauh,23,1731216039585,kauh
189,prod,87,1731216039606,prod
190,isoft,8413,1731216039795,isoft
191,isoft,8497,1731820811775,isoft
192,kauh,23,1731820811787,kauh
193,prod,87,1731820811878,prod
194,kauh,23,1732424821124,kauh
195,prod,87,1732424821379,prod
196,isoft,8497,1732424821462,isoft
197,isoft,8529,1733115327717,isoft
198,prod,87,1733115327726,prod
199,kauh,23,1733115327867,kauh
200,kauh,23,1733636592032,kauh
201,prod,87,1733636592049,prod
202,isoft,8529,1733636592096,isoft
203,kauh,23,1734337710321,kauh
204,isoft,8561,1734337710445,isoft
205,prod,87,1734337710763,prod
206,kauh,23,1735554451822,kauh
207,prod,87,1735554451846,prod
208,isoft,8561,1735554452022,isoft
209,kauh,23,1736053983319,kauh
210,prod,87,1736053983333,prod
211,isoft,8561,1736053983725,isoft
212,kauh,23,1737263259798,kauh
213,prod,87,1737263259887,prod
214,isoft,8656,1737263259905,isoft
215,kauh,23,1737871415647,kauh
216,prod,87,1737871415683,prod
217,isoft,8657,1737871415985,isoft
218,isoft,8657,1737871415985,isoft
219,kauh,23,1738476805967,kauh
220,isoft,8657,1738476806068,isoft
221,prod,87,1738476806190,prod
222,kauh,23,1739097480892,kauh
223,prod,87,1739097481049,prod
224,isoft,8688,1739097481285,isoft
225,isoft,8689,1739697351839,isoft
226,prod,87,1739697351856,prod
227,kauh,23,1739697351866,kauh
228,prod,88,1740485607408,prod
229,kauh,23,1740485607449,kauh
230,isoft,8689,1740485607844,isoft
231,prod,88,1740907234431,prod
232,kauh,23,1740907234828,kauh
233,isoft,8689,1740907235083,isoft
234,prod,88,1742309189826,prod
235,kauh,23,1742309189849,kauh
236,isoft,8785,1742309191383,isoft
237,isoft,8785,1742900482487,isoft
238,prod,88,1742900482513,prod
239,kauh,24,1742900482532,kauh
240,kauh,24,1743661708976,kauh
241,isoft,8785,1743661709000,isoft
242,prod,88,1743862528685,prod
243,prod,88,1743920260910,prod
244,kauh,24,1743920260923,kauh
245,isoft,8785,1743920260936,isoft
246,prod,88,1744784678280,prod
247,isoft,8816,1744784678308,isoft
248,kauh,24,1744784678316,kauh
249,kauh,24,1745137718877,kauh
250,isoft,8817,1745137719160,isoft
251,prod,88,1745137719287,prod
252,prod,88,1745734635459,prod
253,kauh,24,1745734635477,kauh
254,isoft,8817,1745734635712,isoft
255,prod,88,1746519430475,prod
256,isoft,8817,1746519430490,isoft
257,kauh,24,1746519430502,kauh
258,prod,88,1746943325584,prod
259,kauh,24,1746943325597,kauh
260,isoft,8849,1746943325960,isoft
261,isoft,8916,1747548540617,isoft
262,prod,88,1747548540632,prod
263,kauh,24,1747548540664,kauh
264,prod,88,1748211284931,prod
265,kauh,24,1748211284945,kauh
266,isoft,8920,1748211285031,isoft
267,prod,88,1750141805473,prod
268,kauh,24,1750141805495,kauh
269,isoft,8971,1750141805515,isoft
270,prod,88,1750661036704,prod
271,kauh,24,1750661036720,kauh
272,isoft,8972,1750661036733,isoft
273,prod,88,1751446764546,prod
274,kauh,24,1751446764562,kauh
275,isoft,8972,1751446764842,isoft
276,kauh,24,1751793382613,kauh
277,isoft,9003,1751793382625,isoft
278,prod,88,1751793382737,prod
279,prod,88,1752741874680,prod
280,kauh,24,1752741875912,kauh
281,isoft,9069,1752741875928,isoft
282,prod,88,1752993422509,prod
283,isoft,9069,1752993422525,isoft
284,kauh,24,1752993422525,kauh
285,kauh,24,1753602722909,kauh
286,isoft,9069,1753602722928,isoft
287,prod,88,1753602722941,prod
288,prod,88,1754204063746,prod
289,kauh,24,1754204063759,kauh
290,isoft,9069,1754204064099,isoft
291,kauh,24,1754814712044,kauh
292,isoft,9069,1754814712060,isoft
293,prod,88,1754814712702,prod
294,prod,88,1755412617772,prod
295,kauh,24,1755412617784,kauh
296,isoft,9133,1755412618203,isoft
297,prod,88,1756015468519,prod
298,kauh,24,1756015468536,kauh
299,isoft,9133,1756015468657,isoft
300,kauh,24,1757239454314,kauh
301,prod,88,1757239454325,prod
302,isoft,9165,1757239454540,isoft
303,prod,88,1758090993987,prod
304,kauh,24,1758090994001,kauh
305,isoft,9228,1758090994151,isoft
306,kauh,24,1758434257076,kauh
307,prod,88,1758434257070,prod
308,isoft,9232,1758434257604,isoft
309,isoft,9232,1759040073125,isoft
310,kauh,24,1759040073141,kauh
311,prod,88,1759040073151,prod
312,prod,88,1759646115551,prod
313,kauh,24,1759646115562,kauh
314,isoft,9232,1759646115963,isoft
315,kauh,24,1760265697179,kauh
316,isoft,9232,1760265697190,isoft
317,prod,88,1760265697198,prod
318,prod,88,1760853897013,prod
319,kauh,24,1760853897066,kauh
320,isoft,9232,1760853897386,isoft
321,kauh,24,1761459191191,kauh
322,prod,88,1761459191203,prod
323,isoft,9232,1761459192453,isoft
324,prod,88,1762060150535,prod
325,kauh,24,1762060150571,kauh
326,isoft,9232,1762060150794,isoft
327,isoft,9232,1762675404348,isoft
328,prod,88,1762675404364,prod
329,kauh,24,1762675404375,kauh
330,prod,88,1763275015397,prod
331,kauh,24,1763275015415,kauh
332,isoft,9232,1763275015671,isoft
333,isoft,9264,1763877514387,isoft
334,kauh,24,1763877514401,kauh
335,prod,88,1763877514412,prod
336,kauh,24,1764490563996,kauh
337,prod,88,1764490564055,prod
338,isoft,9264,1764490564255,isoft
339,isoft,9270,1765085479398,isoft
340,prod,88,1765085479480,prod
341,kauh,24,1765085479512,kauh
342,isoft,9275,1765702336961,isoft
343,kauh,24,1765702336973,kauh
344,prod,88,1765702337064,prod
345,prod,89,1766304623165,prod
346,kauh,25,1766304623180,kauh
347,isoft,9278,1766304623312,isoft
348,kauh,25,1766900489633,kauh
349,isoft,9282,1766900489722,isoft
350,prod,89,1766900489777,prod
351,kauh,25,1767512106603,kauh
352,prod,89,1767512106619,prod
353,isoft,9290,1767512106639,isoft
354,prod,89,1768122682125,prod
355,kauh,25,1768122682191,kauh
356,isoft,9295,1768122682295,isoft
357,isoft,9299,1768720281601,isoft
358,prod,89,1768720281612,prod
359,kauh,25,1768720281622,kauh
360,prod,89,1769331592731,prod
361,isoft,9303,1769331592747,isoft
362,kauh,25,1769331592748,kauh
363,prod,89,1769924753488,prod
364,kauh,25,1769924753503,kauh
365,isoft,9307,1769924753812,isoft
366,kauh,25,1770530136506,kauh
367,prod,89,1770530136506,prod
368,isoft,9311,1770530136800,isoft
369,prod,89,1771134942651,prod
370,isoft,9316,1771134944755,isoft
371,kauh,25,1771134945187,kauh
372,prod,89,1771743077604,prod
373,kauh,25,1771743077621,kauh
374,isoft,9353,1771743077892,isoft
375,prod,89,1772358013317,prod
376,kauh,25,1772358013333,kauh
377,isoft,9356,1772358013436,isoft
378,prod,89,1772955492227,prod
379,kauh,25,1772955492239,kauh
380,isoft,9358,1772955492360,isoft
381,kauh,25,1773560761109,kauh
382,prod,89,1773560761248,prod
383,isoft,9361,1773560761431,isoft
384,prod,89,1774334998095,prod
385,kauh,25,1774334998112,kauh
386,isoft,9364,1774334998464,isoft
387,prod,89,1774761906910,prod
388,isoft,9367,1774761907476,isoft
389,kauh,25,1774761908215,kauh
390,prod,89,1775369267050,prod
391,kauh,25,1775369267064,kauh
392,isoft,9372,1775369267265,isoft
393,prod,89,1775974799447,prod
394,kauh,25,1775974799472,kauh
395,isoft,9376,1775974799734,isoft
396,kauh,25,1776575371405,kauh
397,prod,89,1776575371415,prod
398,isoft,9381,1776575371787,isoft
399,kauh,25,1777186491977,kauh
400,prod,89,1777186492148,prod
401,isoft,9386,1777186492440,isoft
402,kauh,25,1777792695427,kauh
403,prod,89,1777792695444,prod
404,isoft,9390,1777792695687,isoft
405,prod,89,1778396654045,prod
406,kauh,25,1778396654056,kauh
407,isoft,9394,1778396654516,isoft
408,kauh,25,1778995695496,kauh
409,isoft,9398,1778995695876,isoft
410,prod,89,1778995695908,prod
411,prod,89,1779599599426,prod
412,kauh,25,1779599599590,kauh
413,isoft,9403,1779599599977,isoft
414,prod,89,1780207132272,prod
415,isoft,9405,1780207132658,isoft
416,kauh,25,1780207132847,kauh
417,prod,89,1780819805677,prod
418,kauh,25,1780819805694,kauh
419,isoft,9409,1780819806138,isoft
420,prod,89,1781423454060,prod
421,kauh,25,1781423454071,kauh
422,isoft,9445,1781423454469,isoft
423,prod,89,1782030204942,prod
424,kauh,25,1782030204965,kauh
425,isoft,9453,1782030205573,isoft
426,kauh,25,1782630897927,kauh
427,prod,89,1782630898051,prod
428,isoft,9549,1782630898414,isoft
429,isoft,9549,1782630898414,isoft
430,prod,89,1783232051249,prod
431,kauh,25,1783232051268,kauh
432,isoft,9555,1783232051515,isoft
433,prod,89,1783851173270,prod
434,kauh,25,1783851173283,kauh
435,isoft,9560,1783851173792,isoft
436,prod,89,1784438222363,prod
437,kauh,25,1784438222409,kauh
438,isoft,9563,1784438222367,isoft
439,isoft,9563,1784438222368,isoft
440,prod,89,1785050383524,prod
441,kauh,25,1785050383533,kauh
442,isoft,9568,1785050384021,isoft
443,prod,89,1785647799443,prod
444,kauh,25,1785647799455,kauh
445,isoft,9573,1785647799926,isoft
